Date,State/UnionTerritory,Confirmed,Deaths,Cured
30/01/20,Kerala,1,0,0
31/01/20,Kerala,1,0,0
1/2/2020,Kerala,2,0,0
2/2/2020,Kerala,3,0,0
3/2/2020,Kerala,3,0,0
4/2/2020,Kerala,3,0,0
5/2/2020,Kerala,3,0,0
6/2/2020,Kerala,3,0,0
7/2/2020,Kerala,3,0,0
8/2/2020,Kerala,3,0,0
9/2/2020,Kerala,3,0,0
10/2/2020,Kerala,3,0,0
11/2/2020,Kerala,3,0,0
12/2/2020,Kerala,3,0,0
13/02/20,Kerala,3,0,0
14/02/20,Kerala,3,0,0
15/02/20,Kerala,3,0,0
16/02/20,Kerala,3,0,0
17/02/20,Kerala,3,0,0
18/02/20,Kerala,3,0,0
19/02/20,Kerala,3,0,0
20/02/20,Kerala,3,0,0
21/02/20,Kerala,3,0,0
22/02/20,Kerala,3,0,0
23/02/20,Kerala,3,0,0
24/02/20,Kerala,3,0,0
25/02/20,Kerala,3,0,0
26/02/20,Kerala,3,0,0
27/02/20,Kerala,3,0,0
28/02/20,Kerala,3,0,0
29/02/20,Kerala,3,0,0
1/3/2020,Kerala,3,0,0
2/3/2020,Telengana,1,0,0
2/3/2020,Kerala,3,0,0
2/3/2020,Delhi,1,0,0
3/3/2020,Telengana,1,0,0
3/3/2020,Rajasthan,1,0,0
3/3/2020,Kerala,3,0,3
3/3/2020,Delhi,1,0,0
4/3/2020,Uttar Pradesh,6,0,0
4/3/2020,Kerala,3,0,3
4/3/2020,Haryana,2,0,0
4/3/2020,Delhi,1,0,0
4/3/2020,Telengana,1,0,0
4/3/2020,Rajasthan,15,0,0
5/3/2020,Delhi,2,0,0
5/3/2020,Haryana,2,0,0
5/3/2020,Kerala,3,0,3
5/3/2020,Rajasthan,15,0,0
5/3/2020,Telengana,1,0,0
5/3/2020,Uttar Pradesh,7,0,0
6/3/2020,Delhi,3,0,0
6/3/2020,Haryana,2,0,0
6/3/2020,Kerala,3,0,3
6/3/2020,Rajasthan,15,0,0
6/3/2020,Uttar Pradesh,7,0,0
6/3/2020,Telengana,1,0,0
7/3/2020,Kerala,3,0,3
7/3/2020,Uttar Pradesh,7,0,0
7/3/2020,Ladakh,2,0,0
7/3/2020,Telengana,1,0,0
7/3/2020,Tamil Nadu,1,0,0
7/3/2020,Delhi,3,0,0
7/3/2020,Haryana,2,0,0
7/3/2020,Rajasthan,15,0,0
8/3/2020,Ladakh,2,0,0
8/3/2020,Telengana,1,0,0
8/3/2020,Tamil Nadu,1,0,0
8/3/2020,Rajasthan,15,0,0
8/3/2020,Kerala,8,0,3
8/3/2020,Haryana,2,0,0
8/3/2020,Delhi,3,0,0
8/3/2020,Uttar Pradesh,7,0,0
9/3/2020,Ladakh,2,0,0
9/3/2020,Karnataka,1,0,0
9/3/2020,Kerala,9,0,3
9/3/2020,Maharashtra,2,0,0
9/3/2020,Punjab,1,0,0
9/3/2020,Rajasthan,15,0,0
9/3/2020,Tamil Nadu,1,0,0
9/3/2020,Telengana,1,0,0
9/3/2020,Jammu and Kashmir,1,0,0
9/3/2020,Uttar Pradesh,7,0,0
9/3/2020,Haryana,2,0,0
9/3/2020,Delhi,4,0,0
10/3/2020,Uttar Pradesh,7,0,0
10/3/2020,Ladakh,2,0,0
10/3/2020,Delhi,4,0,0
10/3/2020,Haryana,2,0,0
10/3/2020,Karnataka,4,0,0
10/3/2020,Kerala,15,0,3
