Date,State/UnionTerritory,Confirmed
30/01/20,Kerala,1
31/01/20,Kerala,1
1/2/2020,Kerala,2
2/2/2020,Kerala,3
3/2/2020,Kerala,3
4/2/2020,Kerala,3
5/2/2020,Kerala,3
6/2/2020,Kerala,3
7/2/2020,Kerala,3
8/2/2020,Kerala,3
9/2/2020,Kerala,3
10/2/2020,Kerala,3
11/2/2020,Kerala,3
12/2/2020,Kerala,3
13/02/20,Kerala,3
14/02/20,Kerala,3
15/02/20,Kerala,3
16/02/20,Kerala,3
17/02/20,Kerala,3
18/02/20,Kerala,3
19/02/20,Kerala,3
20/02/20,Kerala,3
21/02/20,Kerala,3
22/02/20,Kerala,3
23/02/20,Kerala,3
24/02/20,Kerala,3
25/02/20,Kerala,3
26/02/20,Kerala,3
27/02/20,Kerala,3
28/02/20,Kerala,3
29/02/20,Kerala,3
1/3/2020,Kerala,3
2/3/2020,Telengana,1
2/3/2020,Kerala,3
2/3/2020,Delhi,1
3/3/2020,Telengana,1
3/3/2020,Rajasthan,1
3/3/2020,Kerala,3
3/3/2020,Delhi,1
4/3/2020,Uttar Pradesh,6
4/3/2020,Kerala,3
4/3/2020,Haryana,2
4/3/2020,Delhi,1
4/3/2020,Telengana,1
4/3/2020,Rajasthan,15
5/3/2020,Delhi,2
5/3/2020,Haryana,2
5/3/2020,Kerala,3
5/3/2020,Rajasthan,15
5/3/2020,Telengana,1
5/3/2020,Uttar Pradesh,7
6/3/2020,Delhi,3
6/3/2020,Haryana,2
6/3/2020,Kerala,3
6/3/2020,Rajasthan,15
6/3/2020,Uttar Pradesh,7
6/3/2020,Telengana,1
7/3/2020,Kerala,3
7/3/2020,Uttar Pradesh,7
7/3/2020,Ladakh,2
7/3/2020,Telengana,1
7/3/2020,Tamil Nadu,1
7/3/2020,Delhi,3
7/3/2020,Haryana,2
7/3/2020,Rajasthan,15
8/3/2020,Ladakh,2
8/3/2020,Telengana,1
8/3/2020,Tamil Nadu,1
8/3/2020,Rajasthan,15
8/3/2020,Kerala,8
8/3/2020,Haryana,2
8/3/2020,Delhi,3
8/3/2020,Uttar Pradesh,7
9/3/2020,Ladakh,2
9/3/2020,Karnataka,1
9/3/2020,Kerala,9
9/3/2020,Maharashtra,2
9/3/2020,Punjab,1
9/3/2020,Rajasthan,15
9/3/2020,Tamil Nadu,1
9/3/2020,Telengana,1
9/3/2020,Jammu and Kashmir,1
9/3/2020,Uttar Pradesh,7
9/3/2020,Haryana,2
9/3/2020,Delhi,4
10/3/2020,Uttar Pradesh,7
10/3/2020,Ladakh,2
10/3/2020,Delhi,4
10/3/2020,Haryana,2
10/3/2020,Karnataka,4
10/3/2020,Kerala,15
10/3/2020,Maharashtra,5
10/3/2020,Punjab,1
10/3/2020,Rajasthan,15
10/3/2020,Tamil Nadu,1
10/3/2020,Telengana,1
10/3/2020,Jammu and Kashmir,1
11/3/2020,Maharashtra,2
11/3/2020,Delhi,5
11/3/2020,Haryana,14
11/3/2020,Kerala,17
11/3/2020,Rajasthan,3
11/3/2020,Telengana,1
11/3/2020,Uttar Pradesh,9
11/3/2020,Ladakh,2
11/3/2020,Tamil Nadu,1
11/3/2020,Jammu and Kashmir,1
11/3/2020,Punjab,1
11/3/2020,Karnataka,4
12/3/2020,Delhi,6
12/3/2020,Haryana,14
12/3/2020,Kerala,17
12/3/2020,Rajasthan,3
12/3/2020,Telengana,1
12/3/2020,Uttar Pradesh,11
12/3/2020,Ladakh,3
12/3/2020,Tamil Nadu,1
12/3/2020,Jammu and Kashmir,1
12/3/2020,Punjab,1
12/3/2020,Karnataka,4
12/3/2020,Maharashtra,11
12/3/2020,Andhra Pradesh,1
13/03/20,Delhi,6
13/03/20,Haryana,14
13/03/20,Kerala,19
13/03/20,Rajasthan,3
13/03/20,Telengana,1
13/03/20,Uttar Pradesh,11
13/03/20,Ladakh,3
13/03/20,Tamil Nadu,1
13/03/20,Jammu and Kashmir,1
13/03/20,Punjab,1
13/03/20,Karnataka,6
13/03/20,Maharashtra,14
13/03/20,Andhra Pradesh,1
14/03/20,Delhi,7
14/03/20,Haryana,14
14/03/20,Kerala,19
14/03/20,Rajasthan,3
14/03/20,Telengana,1
14/03/20,Uttar Pradesh,12
14/03/20,Ladakh,3
14/03/20,Tamil Nadu,1
14/03/20,Jammu and Kashmir,2
14/03/20,Punjab,1
14/03/20,Karnataka,6
14/03/20,Maharashtra,14
14/03/20,Andhra Pradesh,1
15/03/20,Andhra Pradesh,1
15/03/20,Delhi,7
15/03/20,Haryana,14
15/03/20,Karnataka,6
15/03/20,Kerala,22
15/03/20,Maharashtra,32
15/03/20,Punjab,1
15/03/20,Rajasthan,4
15/03/20,Tamil Nadu,1
15/03/20,Telengana,3
15/03/20,Jammu and Kashmir,2
15/03/20,Ladakh,3
15/03/20,Uttar Pradesh,13
15/03/20,Uttarakhand,1
16/03/20,Andhra Pradesh,1
16/03/20,Delhi,7
16/03/20,Haryana,14
16/03/20,Karnataka,6
16/03/20,Kerala,23
16/03/20,Maharashtra,32
16/03/20,Odisha,1
16/03/20,Punjab,1
16/03/20,Rajasthan,4
16/03/20,Tamil Nadu,1
16/03/20,Telengana,3
16/03/20,Jammu and Kashmir,3
16/03/20,Ladakh,4
16/03/20,Uttar Pradesh,13
16/03/20,Uttarakhand,1
17/03/20,Andhra Pradesh,1
17/03/20,Delhi,8
17/03/20,Haryana,15
17/03/20,Karnataka,11
17/03/20,Kerala,26
17/03/20,Maharashtra,39
17/03/20,Odisha,1
17/03/20,Punjab,1
17/03/20,Rajasthan,4
17/03/20,Tamil Nadu,1
