Date,State/UnionTerritory,Cured
30/01/20,Kerala,0
31/01/20,Kerala,0
1/2/2020,Kerala,0
2/2/2020,Kerala,0
3/2/2020,Kerala,0
4/2/2020,Kerala,0
5/2/2020,Kerala,0
6/2/2020,Kerala,0
7/2/2020,Kerala,0
8/2/2020,Kerala,0
9/2/2020,Kerala,0
10/2/2020,Kerala,0
11/2/2020,Kerala,0
12/2/2020,Kerala,0
13/02/20,Kerala,0
14/02/20,Kerala,0
15/02/20,Kerala,0
16/02/20,Kerala,0
17/02/20,Kerala,0
18/02/20,Kerala,0
19/02/20,Kerala,0
20/02/20,Kerala,0
21/02/20,Kerala,0
22/02/20,Kerala,0
23/02/20,Kerala,0
24/02/20,Kerala,0
25/02/20,Kerala,0
26/02/20,Kerala,0
27/02/20,Kerala,0
28/02/20,Kerala,0
29/02/20,Kerala,0
1/3/2020,Kerala,0
2/3/2020,Telengana,0
2/3/2020,Kerala,0
2/3/2020,Delhi,0
3/3/2020,Telengana,0
3/3/2020,Rajasthan,0
3/3/2020,Kerala,3
3/3/2020,Delhi,0
4/3/2020,Uttar Pradesh,0
4/3/2020,Kerala,3
4/3/2020,Haryana,0
4/3/2020,Delhi,0
4/3/2020,Telengana,0
4/3/2020,Rajasthan,0
5/3/2020,Delhi,0
5/3/2020,Haryana,0
5/3/2020,Kerala,3
5/3/2020,Rajasthan,0
5/3/2020,Telengana,0
5/3/2020,Uttar Pradesh,0
6/3/2020,Delhi,0
6/3/2020,Haryana,0
6/3/2020,Kerala,3
6/3/2020,Rajasthan,0
6/3/2020,Uttar Pradesh,0
6/3/2020,Telengana,0
7/3/2020,Kerala,3
7/3/2020,Uttar Pradesh,0
7/3/2020,Ladakh,0
7/3/2020,Telengana,0
7/3/2020,Tamil Nadu,0
7/3/2020,Delhi,0
7/3/2020,Haryana,0
7/3/2020,Rajasthan,0
8/3/2020,Ladakh,0
8/3/2020,Telengana,0
8/3/2020,Tamil Nadu,0
8/3/2020,Rajasthan,0
8/3/2020,Kerala,3
8/3/2020,Haryana,0
8/3/2020,Delhi,0
8/3/2020,Uttar Pradesh,0
9/3/2020,Ladakh,0
9/3/2020,Karnataka,0
9/3/2020,Kerala,3
9/3/2020,Maharashtra,0
9/3/2020,Punjab,0
9/3/2020,Rajasthan,0
9/3/2020,Tamil Nadu,0
9/3/2020,Telengana,0
9/3/2020,Jammu and Kashmir,0
9/3/2020,Uttar Pradesh,0
9/3/2020,Haryana,0
9/3/2020,Delhi,0
10/3/2020,Uttar Pradesh,0
10/3/2020,Ladakh,0
10/3/2020,Delhi,0
10/3/2020,Haryana,0
10/3/2020,Karnataka,0
10/3/2020,Kerala,3
10/3/2020,Maharashtra,0
10/3/2020,Punjab,0
10/3/2020,Rajasthan,0
10/3/2020,Tamil Nadu,0
10/3/2020,Telengana,0
10/3/2020,Jammu and Kashmir,0
11/3/2020,Maharashtra,0
11/3/2020,Delhi,0
11/3/2020,Haryana,0
11/3/2020,Kerala,3
11/3/2020,Rajasthan,0
11/3/2020,Telengana,0
11/3/2020,Uttar Pradesh,0
11/3/2020,Ladakh,0
11/3/2020,Tamil Nadu,0
11/3/2020,Jammu and Kashmir,0
11/3/2020,Punjab,0
11/3/2020,Karnataka,0
12/3/2020,Delhi,0
12/3/2020,Haryana,0
12/3/2020,Kerala,3
12/3/2020,Rajasthan,0
12/3/2020,Telengana,0
12/3/2020,Uttar Pradesh,0
12/3/2020,Ladakh,0
12/3/2020,Tamil Nadu,0
12/3/2020,Jammu and Kashmir,0
12/3/2020,Punjab,0
12/3/2020,Karnataka,0
12/3/2020,Maharashtra,0
12/3/2020,Andhra Pradesh,0
13/03/20,Delhi,0
13/03/20,Haryana,0
13/03/20,Kerala,3
13/03/20,Rajasthan,0
13/03/20,Telengana,0
13/03/20,Uttar Pradesh,0
13/03/20,Ladakh,0
13/03/20,Tamil Nadu,0
13/03/20,Jammu and Kashmir,0
13/03/20,Punjab,0
13/03/20,Karnataka,0
13/03/20,Maharashtra,0
13/03/20,Andhra Pradesh,0
14/03/20,Delhi,1
14/03/20,Haryana,0
14/03/20,Kerala,3
14/03/20,Rajasthan,1
14/03/20,Telengana,0
14/03/20,Uttar Pradesh,5
14/03/20,Ladakh,0
14/03/20,Tamil Nadu,0
14/03/20,Jammu and Kashmir,0
14/03/20,Punjab,0
14/03/20,Karnataka,0
14/03/20,Maharashtra,0
14/03/20,Andhra Pradesh,0
15/03/20,Andhra Pradesh,0
15/03/20,Delhi,2
15/03/20,Haryana,0
15/03/20,Karnataka,0
15/03/20,Kerala,3
15/03/20,Maharashtra,0
15/03/20,Punjab,0
15/03/20,Rajasthan,3
15/03/20,Tamil Nadu,0
15/03/20,Telengana,1
15/03/20,Jammu and Kashmir,0
15/03/20,Ladakh,0
15/03/20,Uttar Pradesh,4
15/03/20,Uttarakhand,0
16/03/20,Andhra Pradesh,0
16/03/20,Delhi,2
16/03/20,Haryana,0
16/03/20,Karnataka,0
16/03/20,Kerala,3
16/03/20,Maharashtra,0
16/03/20,Odisha,0
16/03/20,Punjab,0
16/03/20,Rajasthan,3
16/03/20,Tamil Nadu,0
16/03/20,Telengana,1
16/03/20,Jammu and Kashmir,0
16/03/20,Ladakh,0
16/03/20,Uttar Pradesh,4
16/03/20,Uttarakhand,0
17/03/20,Andhra Pradesh,0
17/03/20,Delhi,2
17/03/20,Haryana,0
17/03/20,Karnataka,0
17/03/20,Kerala,3
17/03/20,Maharashtra,0
17/03/20,Odisha,0
17/03/20,Punjab,0
17/03/20,Rajasthan,3
17/03/20,Tamil Nadu,0
17/03/20,Telengana,1
17/03/20,Jammu and Kashmir,0
17/03/20,Ladakh,0
17/03/20,Uttar Pradesh,5
17/03/20,Uttarakhand,0
18/03/20,Andhra Pradesh,0
18/03/20,Delhi,2
18/03/20,Haryana,0
18/03/20,Karnataka,0
18/03/20,Kerala,3
18/03/20,Maharashtra,0
18/03/20,Odisha,0
18/03/20,Puducherry,0
18/03/20,Punjab,0
18/03/20,Rajasthan,3
18/03/20,Tamil Nadu,0
18/03/20,Telengana,1
18/03/20,Jammu and Kashmir,0
18/03/20,Ladakh,0
18/03/20,Uttar Pradesh,5
18/03/20,Uttarakhand,0
18/03/20,West Bengal,0
19/03/20,Andhra Pradesh,0
19/03/20,Chhattisgarh,0
19/03/20,Delhi,3
19/03/20,Haryana,0
19/03/20,Karnataka,0
19/03/20,Kerala,3
19/03/20,Maharashtra,0
19/03/20,Odisha,0
19/03/20,Puducherry,0
19/03/20,Punjab,0
19/03/20,Rajasthan,3
19/03/20,Tamil Nadu,1
19/03/20,Telengana,1
19/03/20,Chandigarh,0
19/03/20,Jammu and Kashmir,0
19/03/20,Ladakh,0
19/03/20,Uttar Pradesh,9
19/03/20,Uttarakhand,0
19/03/20,West Bengal,0
20/03/20,Andhra Pradesh,0
20/03/20,Chhattisgarh,0
20/03/20,Delhi,5
20/03/20,Gujarat,0
20/03/20,Haryana,0
20/03/20,Karnataka,1
20/03/20,Kerala,3
20/03/20,Maharashtra,0
20/03/20,Odisha,0
20/03/20,Puducherry,0
20/03/20,Punjab,0
20/03/20,Rajasthan,3
20/03/20,Tamil Nadu,1
20/03/20,Telengana,1
20/03/20,Chandigarh,0
20/03/20,Jammu and Kashmir,0
20/03/20,Ladakh,0
20/03/20,Uttar Pradesh,9
20/03/20,Uttarakhand,0
20/03/20,West Bengal,0
21/03/20,Andhra Pradesh,0
21/03/20,Chhattisgarh,0
21/03/20,Delhi,5
21/03/20,Gujarat,0
21/03/20,Haryana,0
21/03/20,Himachal Pradesh,0
21/03/20,Karnataka,1
21/03/20,Kerala,3
21/03/20,Madhya Pradesh,0
21/03/20,Maharashtra,0
21/03/20,Odisha,0
21/03/20,Puducherry,0
21/03/20,Punjab,0
21/03/20,Rajasthan,3
21/03/20,Tamil Nadu,1
21/03/20,Telengana,1
21/03/20,Chandigarh,0
21/03/20,Jammu and Kashmir,0
21/03/20,Ladakh,0
21/03/20,Uttar Pradesh,9
21/03/20,Uttarakhand,0
21/03/20,West Bengal,0
22/03/20,Andhra Pradesh,0
22/03/20,Bihar,0
22/03/20,Chhattisgarh,0
22/03/20,Delhi,5
22/03/20,Gujarat,0
22/03/20,Haryana,0
22/03/20,Himachal Pradesh,0
22/03/20,Karnataka,2
22/03/20,Kerala,3
22/03/20,Madhya Pradesh,0
22/03/20,Maharashtra,0
22/03/20,Odisha,0
22/03/20,Puducherry,0
22/03/20,Punjab,0
22/03/20,Rajasthan,3
22/03/20,Tamil Nadu,1
22/03/20,Telengana,1
22/03/20,Chandigarh,0
22/03/20,Jammu and Kashmir,0
22/03/20,Ladakh,0
22/03/20,Uttar Pradesh,9
22/03/20,Uttarakhand,0
22/03/20,West Bengal,0
23/03/20,Andhra Pradesh,0
23/03/20,Bihar,0
23/03/20,Chhattisgarh,0
23/03/20,Delhi,5
23/03/20,Gujarat,0
23/03/20,Haryana,0
23/03/20,Himachal Pradesh,0
23/03/20,Karnataka,2
23/03/20,Kerala,3
23/03/20,Madhya Pradesh,0
23/03/20,Maharashtra,0
23/03/20,Odisha,0
23/03/20,Puducherry,0
23/03/20,Punjab,0
23/03/20,Rajasthan,3
23/03/20,Tamil Nadu,1
23/03/20,Telengana,1
23/03/20,Chandigarh,0
23/03/20,Jammu and Kashmir,0
23/03/20,Ladakh,0
23/03/20,Uttar Pradesh,9
23/03/20,Uttarakhand,0
23/03/20,West Bengal,0
24/03/20,Andhra Pradesh,0
24/03/20,Bihar,0
24/03/20,Chhattisgarh,0
24/03/20,Delhi,6
24/03/20,Gujarat,0
24/03/20,Haryana,11
24/03/20,Himachal Pradesh,0
24/03/20,Karnataka,3
24/03/20,Kerala,4
24/03/20,Madhya Pradesh,0
24/03/20,Maharashtra,0
24/03/20,Manipur,0
24/03/20,Odisha,0
24/03/20,Puducherry,0
24/03/20,Punjab,0
24/03/20,Rajasthan,3
24/03/20,Tamil Nadu,1
24/03/20,Telengana,1
24/03/20,Chandigarh,0
24/03/20,Jammu and Kashmir,0
24/03/20,Ladakh,0
24/03/20,Uttar Pradesh,11
24/03/20,Uttarakhand,0
24/03/20,West Bengal,0
25/03/20,Andhra Pradesh,1
25/03/20,Bihar,0
25/03/20,Chhattisgarh,0
25/03/20,Delhi,6
25/03/20,Gujarat,0
25/03/20,Haryana,11
25/03/20,Himachal Pradesh,0
25/03/20,Karnataka,3
25/03/20,Kerala,4
25/03/20,Madhya Pradesh,0
25/03/20,Maharashtra,1
25/03/20,Manipur,0
25/03/20,Mizoram,0
25/03/20,Odisha,0
25/03/20,Puducherry,0
25/03/20,Punjab,0
25/03/20,Rajasthan,3
25/03/20,Tamil Nadu,1
25/03/20,Telengana,1
25/03/20,Chandigarh,0
25/03/20,Jammu and Kashmir,1
25/03/20,Ladakh,0
25/03/20,Uttar Pradesh,11
25/03/20,Uttarakhand,0
25/03/20,West Bengal,0
26/03/20,Andaman and Nicobar Islands,0
26/03/20,Andhra Pradesh,1
26/03/20,Bihar,0
26/03/20,Chandigarh,0
26/03/20,Chhattisgarh,0
26/03/20,Delhi,6
26/03/20,Goa,0
26/03/20,Gujarat,0
26/03/20,Haryana,11
26/03/20,Himachal Pradesh,0
26/03/20,Jammu and Kashmir,1
26/03/20,Karnataka,3
26/03/20,Kerala,6
26/03/20,Ladakh,0
26/03/20,Madhya Pradesh,0
26/03/20,Maharashtra,1
26/03/20,Manipur,0
26/03/20,Mizoram,0
26/03/20,Odisha,0
26/03/20,Puducherry,0
26/03/20,Punjab,0
26/03/20,Rajasthan,3
26/03/20,Tamil Nadu,1
26/03/20,Telengana,1
26/03/20,Uttarakhand,0
26/03/20,Uttar Pradesh,11
26/03/20,West Bengal,0
27/03/20,Andaman and Nicobar Islands,0
27/03/20,Andhra Pradesh,1
27/03/20,Bihar,0
27/03/20,Chandigarh,0
27/03/20,Chhattisgarh,0
27/03/20,Delhi,6
27/03/20,Goa,0
27/03/20,Gujarat,0
27/03/20,Haryana,11
27/03/20,Himachal Pradesh,0
27/03/20,Jammu and Kashmir,1
27/03/20,Karnataka,3
27/03/20,Kerala,11
27/03/20,Ladakh,3
27/03/20,Madhya Pradesh,0
27/03/20,Maharashtra,15
27/03/20,Manipur,0
27/03/20,Mizoram,0
27/03/20,Odisha,0
27/03/20,Puducherry,0
27/03/20,Punjab,0
27/03/20,Rajasthan,3
27/03/20,Tamil Nadu,1
27/03/20,Telengana,1
27/03/20,Uttarakhand,0
27/03/20,Uttar Pradesh,11
27/03/20,West Bengal,0
28/03/20,Andhra Pradesh,1
28/03/20,Andaman and Nicobar Islands,0
28/03/20,Bihar,0
28/03/20,Chandigarh,0
28/03/20,Chhattisgarh,0
28/03/20,Delhi,6
28/03/20,Goa,0
28/03/20,Gujarat,0
28/03/20,Haryana,12
28/03/20,Himachal Pradesh,0
28/03/20,Jammu and Kashmir,1
28/03/20,Karnataka,3
28/03/20,Kerala,11
28/03/20,Ladakh,3
28/03/20,Madhya Pradesh,0
28/03/20,Maharashtra,25
28/03/20,Manipur,0
28/03/20,Mizoram,0
28/03/20,Odisha,0
28/03/20,Puducherry,0
28/03/20,Punjab,1
28/03/20,Rajasthan,3
28/03/20,Tamil Nadu,2
28/03/20,Telengana,1
28/03/20,Uttarakhand,0
28/03/20,Uttar Pradesh,11
28/03/20,West Bengal,0
29/03/20,Andhra Pradesh,1
29/03/20,Andaman and Nicobar Islands,0
29/03/20,Bihar,0
29/03/20,Chandigarh,0
29/03/20,Chhattisgarh,0
29/03/20,Delhi,6
29/03/20,Goa,0
29/03/20,Gujarat,1
29/03/20,Haryana,17
29/03/20,Himachal Pradesh,0
29/03/20,Jammu and Kashmir,1
29/03/20,Karnataka,5
29/03/20,Kerala,15
29/03/20,Ladakh,3
29/03/20,Madhya Pradesh,0
29/03/20,Maharashtra,25
29/03/20,Manipur,0
29/03/20,Mizoram,0
29/03/20,Odisha,0
29/03/20,Puducherry,0
29/03/20,Punjab,1
29/03/20,Rajasthan,3
29/03/20,Tamil Nadu,4
29/03/20,Telengana,1
29/03/20,Uttarakhand,2
29/03/20,Uttar Pradesh,11
29/03/20,West Bengal,0
30/03/20,Andhra Pradesh,1
30/03/20,Andaman and Nicobar Islands,0
30/03/20,Bihar,0
30/03/20,Chandigarh,0
30/03/20,Chhattisgarh,0
30/03/20,Delhi,6
30/03/20,Goa,0
30/03/20,Gujarat,1
30/03/20,Haryana,18
30/03/20,Himachal Pradesh,0
30/03/20,Jammu and Kashmir,2
30/03/20,Karnataka,5
30/03/20,Kerala,19
30/03/20,Ladakh,3
30/03/20,Madhya Pradesh,0
30/03/20,Maharashtra,25
30/03/20,Manipur,0
30/03/20,Mizoram,0
30/03/20,Odisha,0
30/03/20,Puducherry,0
30/03/20,Punjab,1
30/03/20,Rajasthan,3
30/03/20,Tamil Nadu,4
30/03/20,Telengana,1
30/03/20,Uttarakhand,2
30/03/20,Uttar Pradesh,11
30/03/20,West Bengal,0
30/03/20,Unassigned,0
31/03/20,Andhra Pradesh,1
31/03/20,Andaman and Nicobar Islands,0
31/03/20,Bihar,0
31/03/20,Chandigarh,0
31/03/20,Chhattisgarh,0
31/03/20,Delhi,6
31/03/20,Goa,0
31/03/20,Gujarat,3
31/03/20,Haryana,21
31/03/20,Himachal Pradesh,0
31/03/20,Jammu and Kashmir,2
31/03/20,Karnataka,5
31/03/20,Kerala,19
31/03/20,Ladakh,3
31/03/20,Madhya Pradesh,0
31/03/20,Maharashtra,39
31/03/20,Manipur,0
31/03/20,Mizoram,0
31/03/20,Odisha,0
31/03/20,Puducherry,0
31/03/20,Punjab,1
31/03/20,Rajasthan,3
31/03/20,Tamil Nadu,4
31/03/20,Telengana,1
31/03/20,Uttarakhand,2
31/03/20,Uttar Pradesh,14
31/03/20,West Bengal,0
31/03/20,Unassigned,0
1/4/2020,Andhra Pradesh,1
1/4/2020,Andaman and Nicobar Islands,0
1/4/2020,Assam,0
1/4/2020,Bihar,0
1/4/2020,Chandigarh,0
1/4/2020,Chhattisgarh,2
1/4/2020,Delhi,6
1/4/2020,Goa,0
1/4/2020,Gujarat,5
1/4/2020,Haryana,21
1/4/2020,Himachal Pradesh,0
1/4/2020,Jammu and Kashmir,2
1/4/2020,Jharkhand,0
1/4/2020,Karnataka,8
1/4/2020,Kerala,23
1/4/2020,Ladakh,3
1/4/2020,Madhya Pradesh,0
1/4/2020,Maharashtra,39
1/4/2020,Manipur,0
1/4/2020,Mizoram,0
1/4/2020,Odisha,0
1/4/2020,Puducherry,1
1/4/2020,Punjab,1
1/4/2020,Rajasthan,3
1/4/2020,Tamil Nadu,6
1/4/2020,Telengana,1
1/4/2020,Uttarakhand,2
1/4/2020,Uttar Pradesh,14
1/4/2020,West Bengal,6
2/4/2020,Andhra Pradesh,1
2/4/2020,Andaman and Nicobar Islands,0
2/4/2020,Assam,0
2/4/2020,Bihar,0
2/4/2020,Chandigarh,0
2/4/2020,Chhattisgarh,2
2/4/2020,Delhi,8
2/4/2020,Goa,0
2/4/2020,Gujarat,8
2/4/2020,Haryana,21
2/4/2020,Himachal Pradesh,1
2/4/2020,Jammu and Kashmir,2
2/4/2020,Jharkhand,0
2/4/2020,Karnataka,9
2/4/2020,Kerala,25
2/4/2020,Ladakh,3
2/4/2020,Madhya Pradesh,0
2/4/2020,Maharashtra,42
2/4/2020,Manipur,0
2/4/2020,Mizoram,0
2/4/2020,Odisha,0
2/4/2020,Puducherry,1
2/4/2020,Punjab,1
2/4/2020,Rajasthan,3
2/4/2020,Tamil Nadu,6
2/4/2020,Telengana,1
2/4/2020,Uttarakhand,2
2/4/2020,Uttar Pradesh,14
2/4/2020,West Bengal,6
3/4/2020,Andhra Pradesh,1
3/4/2020,Andaman and Nicobar Islands,0
3/4/2020,Arunachal Pradesh,0
3/4/2020,Assam,0
3/4/2020,Bihar,0
3/4/2020,Chandigarh,0
3/4/2020,Chhattisgarh,3
3/4/2020,Delhi,8
3/4/2020,Goa,0
3/4/2020,Gujarat,10
3/4/2020,Haryana,24
3/4/2020,Himachal Pradesh,1
3/4/2020,Jammu and Kashmir,3
3/4/2020,Jharkhand,0
3/4/2020,Karnataka,10
3/4/2020,Kerala,27
3/4/2020,Ladakh,3
3/4/2020,Madhya Pradesh,0
3/4/2020,Maharashtra,42
3/4/2020,Manipur,0
3/4/2020,Mizoram,0
3/4/2020,Odisha,0
3/4/2020,Puducherry,1
3/4/2020,Punjab,1
3/4/2020,Rajasthan,3
3/4/2020,Tamil Nadu,6
3/4/2020,Telengana,1
3/4/2020,Uttarakhand,2
3/4/2020,Uttar Pradesh,14
3/4/2020,West Bengal,3
3/4/2020,Unassigned,0
4/4/2020,Andhra Pradesh,1
4/4/2020,Andaman and Nicobar Islands,0
4/4/2020,Arunachal Pradesh,0
4/4/2020,Assam,0
4/4/2020,Bihar,0
4/4/2020,Chandigarh,0
4/4/2020,Chhattisgarh,3
4/4/2020,Delhi,15
4/4/2020,Goa,0
4/4/2020,Gujarat,14
4/4/2020,Haryana,24
4/4/2020,Himachal Pradesh,1
4/4/2020,Jammu and Kashmir,3
4/4/2020,Jharkhand,0
4/4/2020,Karnataka,12
4/4/2020,Kerala,41
4/4/2020,Ladakh,3
4/4/2020,Madhya Pradesh,0
4/4/2020,Maharashtra,42
4/4/2020,Manipur,0
4/4/2020,Mizoram,0
